[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/base_subprocess.py first seen with mtime 1595261512.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/todoDjango/todo_list/apps.py first seen with mtime 1630105454.7431571
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/urllib/__init__.py first seen with mtime 1595261513.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/admin/templatetags/admin_list.py first seen with mtime 1630105311.362627
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/migrations/executor.py first seen with mtime 1630105312.533498
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/views/decorators/csrf.py first seen with mtime 1630105312.627315
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/runners.py first seen with mtime 1595261512.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/template/utils.py first seen with mtime 1630105312.596757
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/gettext.py first seen with mtime 1595261510.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1630105312.471012
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/select.cpython-38-darwin.so first seen with mtime 1595261773.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tokenize.py first seen with mtime 1595261510.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/models/constants.py first seen with mtime 1630105312.542591
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/models/lookups.py first seen with mtime 1630105312.54527
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/header.py first seen with mtime 1595261513.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/statistics.py first seen with mtime 1595261510.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/core/files/move.py first seen with mtime 1630105312.485832
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_bz2.cpython-38-darwin.so first seen with mtime 1595261767.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/templatetags/static.py first seen with mtime 1630105312.601973
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1630105312.47124
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/platform.py first seen with mtime 1595261510.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/core/servers/__init__.py first seen with mtime 1630105312.509489
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/iterators.py first seen with mtime 1595261513.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/models/fields/related.py first seen with mtime 1630105312.555087
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/models/functions/math.py first seen with mtime 1630105312.558036
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/admin/views/main.py first seen with mtime 1630105311.367542
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/unittest/main.py first seen with mtime 1595261514.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/admin/decorators.py first seen with mtime 1630105310.959896
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/template/exceptions.py first seen with mtime 1630105312.59449
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/template/library.py first seen with mtime 1630105312.59479
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1630105312.563779
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/middleware/common.py first seen with mtime 1630105312.589604
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/admin/filters.py first seen with mtime 1630105310.960642
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/template/autoreload.py first seen with mtime 1630105312.591759
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/codecs.py first seen with mtime 1595261510.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/json/scanner.py first seen with mtime 1595261513.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/ssl.py first seen with mtime 1595261510.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/sqlparse/__init__.py first seen with mtime 1630105309.249615
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/_bootlocale.py first seen with mtime 1595261510.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1630105311.364692
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/todoDjango/todo_list/views.py first seen with mtime 1630111514.5393915
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/unittest/__init__.py first seen with mtime 1595261514.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/urls/__init__.py first seen with mtime 1630105312.606016
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/auth/admin.py first seen with mtime 1630105311.50668
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/wsgiref/simple_server.py first seen with mtime 1595261513.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/core/cache/__init__.py first seen with mtime 1630105312.476615
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/shortcuts.py first seen with mtime 1630105310.803045
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/messages/middleware.py first seen with mtime 1630105312.154315
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/middleware/security.py first seen with mtime 1630105312.591181
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/utils/dateformat.py first seen with mtime 1630105312.611442
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/utils/regex_helper.py first seen with mtime 1630105312.619295
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1630105312.304611
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/message.py first seen with mtime 1595261513.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/core/__init__.py first seen with mtime 1630105312.473509
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/backends/__init__.py first seen with mtime 1630105312.511182
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/core/files/temp.py first seen with mtime 1630105312.48648
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/models/fields/files.py first seen with mtime 1630105312.552755
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/models/signals.py first seen with mtime 1630105312.549623
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/todoDjango/todoDjango/settings.py first seen with mtime 1630113458.075934
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1630105309.26901
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/copyreg.py first seen with mtime 1595261510.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/template/loader.py first seen with mtime 1630105312.595054
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/utils/asyncio.py first seen with mtime 1630105312.609207
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/distutils/version.py first seen with mtime 1595261513.0
